what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1308162343722
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1308162343723
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1308162343723
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308162343724
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1308162343725
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1308162343726
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1308162343727
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1308162343728
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1308162343732
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1308162343733
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1308162343813
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1308162343814
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1308162343816
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1308162343816
os,sysinfo,,,"win32",1308162343819
arch,sysinfo,,,"x86",1308162343819
ws,sysinfo,,,"win32",1308162343819
locale,sysinfo,,,"en_US",1308162343819
processors,sysinfo,,,"4",1308162343819
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308162343819
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1308162343819
java.specification.name,sysinfo,,,"Java Platform API Specification",1308162343819
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308162343819
java.specification.version,sysinfo,,,"1.6",1308162343819
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308162343819
java.version,sysinfo,,,"1.6.0_25",1308162343819
java.vm.info,sysinfo,,,"mixed mode, sharing",1308162343819
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308162343819
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308162343819
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308162343819
java.vm.specification.version,sysinfo,,,"1.0",1308162343819
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308162343819
java.vm.version,sysinfo,,,"20.0-b11",1308162343819
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308162346741
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308162346862
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308162376299
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308162376501
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162378254
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162381671
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1308162385402
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308162388013
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162393439
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162393889
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162396139
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1308162396601
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1308162410962
